-4.69466;6.65791;-7.43405
-4.6333;6.42435;-7.10572
-4.57231;6.19617;-6.7835
-4.51169;5.97336;-6.46739
-4.45143;5.75593;-6.15739
-4.39153;5.54387;-5.85349
-4.33201;5.33718;-5.5557
-4.27285;5.13587;-5.26403
-4.21405;4.93993;-4.97845
-4.15562;4.74937;-4.69899
-4.09756;4.56418;-4.42564
-4.03986;4.38436;-4.15839
-3.98253;4.20992;-3.89725
-3.92556;4.04086;-3.64222
-3.86896;3.87716;-3.3933
-3.81272;3.71885;-3.15048
-3.75685;3.5659;-2.91377
-3.70135;3.41833;-2.68318
-3.64621;3.27614;-2.45868
-3.59144;3.13932;-2.2403
-3.53703;3.00787;-2.02803
-3.48299;2.8818;-1.82186
-3.42932;2.76111;-1.6218
-3.37601;2.64578;-1.42785
-3.32306;2.53583;-1.24001
-3.27049;2.43126;-1.05827
-3.21827;2.33206;-0.882644
-3.16643;2.23823;-0.713126
-3.11495;2.14978;-0.549715
-3.06383;2.06671;-0.392412
-3.01308;1.989;-0.241217
-2.9627;1.91668;-0.0961298
-2.91268;1.84972;0.0428491
-2.86303;1.78814;0.17572
-2.81375;1.73194;0.302483
-2.76483;1.68111;0.423138
-2.71627;1.63565;0.537685
-2.66808;1.59557;0.646123
-2.62026;1.56086;0.748454
-2.5728;1.53153;0.844677
-2.52571;1.50757;0.934792
-2.47899;1.48898;1.0188
-2.43263;1.47577;1.0967
-2.38663;1.46793;1.16849
-2.341;1.46547;1.23417
-2.29574;1.46838;1.29375
-2.25085;1.47667;1.34721
-2.20631;1.49033;1.39457
-2.16215;1.50937;1.43582
-2.11835;1.53378;1.47097
-2.07492;1.56356;1.5
-2.03185;1.59872;1.52293
-1.98915;1.63925;1.53975
-1.94681;1.68516;1.55046
-1.90484;1.73644;1.55506
-1.86323;1.7931;1.55355
-1.822;1.85513;1.54594
-1.78112;1.92253;1.53222
-1.74061;1.99531;1.51239
-1.70047;2.07346;1.48645
-1.6607;2.15699;1.45441
-1.62129;2.24589;1.41625
-1.58224;2.34017;1.37199
-1.54356;2.43982;1.32162
-1.50525;2.54484;1.26515
-1.4673;2.65524;1.20256
-1.42972;2.77101;1.13387
-1.39251;2.89216;1.05907
-1.35566;3.01868;0.978156
-1.31917;3.15058;0.891139
